m_x,r,T,rho,P,l,X,Y,He3,C12,N14,O16,T6,n_e,m_y,X 7Be,pp,B8,N13,O15,F17,Be7,pep,hep
3.8e-06,0.00328,15500000.0,150.0,2.34e+17,3e-05,0.36481,0.62006,8.91e-06,7.8e-06,0.00374,0.00607,15.473,2.011,1.6e-06,1.58e-11,1.03e-05,0.000126,7.5e-05,0.000104,0.000115,5.07e-05,1.61e-05,4.43e-06
3.9e-06,0.00331,15500000.0,150.0,2.34e+17,3e-05,0.36482,0.62006,8.91e-06,7.8e-06,0.00374,0.00607,15.472926829268294,2.011,1.6285365853658536e-06,1.58e-11,1.0490243902439025e-05,0.00012826829268292684,7.635365853658536e-05,0.00010590243902439024,0.00011704878048780489,5.1621951219512194e-05,1.64e-05,4.510487804878049e-06
4e-06,0.00333,15500000.0,150.0,2.34e+17,3e-05,0.36482,0.62005,8.91e-06,7.8e-06,0.00374,0.00607,15.472878048780489,2.011,1.647560975609756e-06,1.58e-11,1.0617073170731708e-05,0.00012978048780487806,7.725609756097561e-05,0.00010717073170731707,0.00011841463414634147,5.223658536585366e-05,1.66e-05,4.564146341463415e-06
4.1e-06,0.00337,15500000.0,150.0,2.34e+17,3e-05,0.36483,0.62005,8.91e-06,7.8e-06,0.00374,0.00607,15.47278048780488,2.011,1.685609756097561e-06,1.58e-11,1.0870731707317074e-05,0.0001328048780487805,7.90609756097561e-05,0.00010970731707317074,0.00012114634146341465,5.346585365853659e-05,1.7e-05,4.671463414634147e-06
4.2e-06,0.00341,15500000.0,150.0,2.34e+17,4e-05,0.36484,0.62004,8.91e-06,7.8e-06,0.00374,0.00607,15.472682926829268,2.011,1.7236585365853657e-06,1.58e-11,1.1124390243902438e-05,0.0001358292682926829,8.086585365853658e-05,0.00011224390243902438,0.0001238780487804878,5.4695121951219506e-05,1.7399999999999996e-05,4.778780487804878e-06
4.4e-06,0.00344,15500000.0,150.0,2.34e+17,4e-05,0.36484,0.62003,8.92e-06,7.8e-06,0.00374,0.00607,15.472609756097562,2.011,1.7521951219512194e-06,1.58e-11,1.1314634146341462e-05,0.00013809756097560974,8.221951219512195e-05,0.00011414634146341462,0.00012592682926829268,5.56170731707317e-05,1.7699999999999997e-05,4.859268292682927e-06
4.5e-06,0.00347,15500000.0,150.0,2.34e+17,4e-05,0.36485,0.62003,8.92e-06,7.8e-06,0.00374,0.00607,15.472536585365853,2.011,1.7807317073170731e-06,1.58e-11,1.1504878048780487e-05,0.0001403658536585366,8.357317073170732e-05,0.00011604878048780486,0.00012797560975609756,5.6539024390243896e-05,1.7999999999999997e-05,4.9397560975609755e-06
4.6e-06,0.0035,15500000.0,150.0,2.34e+17,4e-05,0.36485,0.62002,8.92e-06,7.8e-06,0.00374,0.00607,15.472463414634147,2.011,1.8092682926829268e-06,1.58e-11,1.1695121951219513e-05,0.0001426341463414634,8.492682926829269e-05,0.00011795121951219512,0.00013002439024390245,5.74609756097561e-05,1.8299999999999998e-05,5.020243902439025e-06
4.7e-06,0.00353,15500000.0,150.0,2.34e+17,4e-05,0.36486,0.62002,8.92e-06,7.8e-06,0.00374,0.00607,15.472390243902439,2.011,1.8378048780487805e-06,1.58e-11,1.1885365853658538e-05,0.00014490243902439025,8.628048780487805e-05,0.00011985365853658536,0.00013207317073170733,5.838292682926829e-05,1.86e-05,5.100731707317073e-06
4.8e-06,0.00356,15500000.0,150.0,2.34e+17,4e-05,0.36487,0.62001,8.92e-06,7.8e-06,0.00374,0.00607,15.472317073170732,2.011,1.8663414634146338e-06,1.58e-11,1.207560975609756e-05,0.00014717073170731704,8.76341463414634e-05,0.00012175609756097558,0.0001341219512195122,5.9304878048780473e-05,1.8899999999999995e-05,5.181219512195122e-06
