r,l,log10(n_eN_A),m,nu B8,nu Be7,nu F17,nu hep,nu N13,nu O15,nu pep,nu pp,P,rho,T,X_7Be,X_C12,X_H,X_He3,X_He4,X_N14,X_N16
0.052697528,0.105487951,1.953099097,0.012653871,0.007048522,0.005284477,0.006823013,0.001020172,0.004798309,0.006653923,0.002624689,0.001891262,1.97E+17,124.9327984,14642921.52,9.57E-12,7.01E-06,0.435918352,1.64E-05,0.54886248,0.003729653,0.006289197
0.05367998,0.110620928,1.951074744,0.0133908,0.006935804,0.00532045,0.006735455,0.00105567,0.004752537,0.006590573,0.002685778,0.001943561,1.96E+17,124.1371402,14614746.68,9.38E-12,6.98E-06,0.438264784,1.67E-05,0.546497703,0.003729235,0.00629236
0.054662432,0.115873758,1.949024791,0.014151634,0.006813709,0.005350171,0.006639199,0.001091486,0.004700567,0.006518708,0.002745615,0.001995469,1.95E+17,123.338236,14586226.42,9.19E-12,6.95E-06,0.440632647,1.71E-05,0.544112815,0.00372943,0.006295385
0.055644885,0.121244828,1.946949684,0.014936495,0.006683001,0.005373691,0.006534866,0.001127591,0.004642762,0.006438826,0.002804128,0.002046929,1.94E+17,122.536455,14557366.33,9.00E-12,6.92E-06,0.443021046,1.74E-05,0.541708848,0.003729856,0.006298273
0.056627337,0.12673242,1.944849859,0.015745497,0.006544456,0.005391079,0.006423087,0.001163956,0.004579497,0.006351436,0.00286125,0.002097886,1.92E+17,121.732154,14528172.05,8.81E-12,6.89E-06,0.44542909,1.78E-05,0.539286818,0.003730254,0.006301026
0.05760979,0.132334708,1.942725743,0.016578742,0.006398855,0.005402423,0.006304496,0.001200551,0.004511152,0.006257056,0.002916918,0.002148285,1.91E+17,120.9256778,14498649.22,8.62E-12,6.86E-06,0.447855883,1.81E-05,0.536847731,0.003730483,0.006303648
0.058592242,0.138049753,1.940577756,0.017436325,0.006246979,0.00540783,0.006179729,0.001237343,0.004438112,0.006156212,0.002971073,0.002198074,1.90E+17,120.1173593,14468803.52,8.43E-12,6.84E-06,0.450300534,1.85E-05,0.534392579,0.003730493,0.00630614
0.059574695,0.143875504,1.938406305,0.018318331,0.006089603,0.005407419,0.006049416,0.001274304,0.004360764,0.00604943,0.003023661,0.002247204,1.89E+17,119.3075195,14438640.65,8.24E-12,6.81E-06,0.452762148,1.89E-05,0.531922342,0.003730309,0.006308504
0.060557147,0.14980979,1.936211791,0.019224836,0.005927492,0.005401327,0.005914181,0.001311404,0.004279495,0.005937236,0.003074629,0.002295625,1.88E+17,118.4964679,14408166.35,8.05E-12,6.78E-06,0.455239832,1.93E-05,0.529437985,0.003730002,0.006310744
0.0615396,0.155850325,1.933994606,0.020155908,0.005761395,0.005389703,0.005774637,0.001348614,0.004194688,0.00582015,0.003123931,0.002343292,1.86E+17,117.6845028,14377386.35,7.87E-12,6.75E-06,0.457732693,1.97E-05,0.526940464,0.003729674,0.00631286
0.062522052,0.161994707,1.931755133,0.021111607,0.005592042,0.005372708,0.005631382,0.001385906,0.004106723,0.005698689,0.003171525,0.002390159,1.85E+17,116.8719112,14346306.42,7.69E-12,6.72E-06,0.460239838,2.01E-05,0.524430718,0.003729433,0.006314856
0.063504505,0.168240419,1.929493745,0.022091981,0.005420139,0.005350513,0.005485,0.00142325,0.004015971,0.005573358,0.00321737,0.002436184,1.84E+17,116.0589691,14314932.34,7.50E-12,6.69E-06,0.462760372,2.06E-05,0.521909677,0.003729371,0.006316733
0.064486957,0.174584835,1.927210807,0.023097074,0.005246365,0.005323299,0.005336053,0.00146062,0.003922797,0.005444653,0.003261431,0.002481325,1.83E+17,115.2459421,14283269.89,7.32E-12,6.66E-06,0.465293402,2.10E-05,0.519378256,0.00372954,0.006318494
0.065469409,0.181025224,1.924906678,0.024126919,0.005071371,0.005291256,0.005185084,0.001497984,0.003827555,0.005313056,0.003303676,0.002525544,1.81E+17,114.433085,14251324.88,7.14E-12,6.62E-06,0.467838036,2.15E-05,0.516837357,0.003729937,0.006320142
0.066451862,0.187558763,1.922581705,0.025181542,0.004895777,0.005254579,0.005032614,0.001535311,0.003730587,0.005179034,0.003344077,0.002568801,1.80E+17,113.6206425,14219103.12,6.97E-12,6.59E-06,0.470393379,2.19E-05,0.514287872,0.003730475,0.006321678
0.067434314,0.194182543,1.92023623,0.026260959,0.004720166,0.005213469,0.004879138,0.001572571,0.003632224,0.005043038,0.003382606,0.002611062,1.79E+17,112.8088493,14186610.42,6.79E-12,6.56E-06,0.472958538,2.24E-05,0.511730676,0.003730964,0.006323106
0.068416767,0.20089359,1.917870585,0.027365181,0.004545091,0.005168133,0.004725129,0.001609726,0.003532783,0.004905503,0.003419243,0.002652293,1.78E+17,111.9979302,14153852.6,6.62E-12,6.53E-06,0.47553262,2.29E-05,0.509166634,0.003731088,0.006324426
0.069399219,0.207688874,1.915485094,0.028494208,0.004371064,0.005118782,0.00457103,0.001646742,0.003432569,0.004766845,0.003453968,0.00269246,1.76E+17,111.1881003,14120835.49,6.45E-12,6.50E-06,0.478114729,2.34E-05,0.506596599,0.003730402,0.006325643
0.070381672,0.214565331,1.913080073,0.029648036,0.004198562,0.005065627,0.004417262,0.001683576,0.003331869,0.00462746,0.003486764,0.002731533,1.75E+17,110.3795657,14087564.9,6.28E-12,6.47E-06,0.480703963,2.39E-05,0.504021408,0.00372851,0.006326757
0.071364124,0.22151986,1.910655831,0.030826651,0.004028027,0.005008882,0.004264216,0.001720188,0.003230958,0.004487726,0.003517619,0.002769483,1.74E+17,109.5725231,14054046.67,6.11E-12,6.43E-06,0.48329942,2.45E-05,0.501441889,0.00372557,0.006327772
0.072346577,0.228549335,1.90821267,0.03203003,0.00385986,0.004948765,0.004112258,0.001756534,0.003130095,0.004347998,0.003546521,0.002806283,1.72E+17,108.7671604,14020286.6,5.95E-12,6.40E-06,0.485900198,2.50E-05,0.498858853,0.00372255,0.00632869
0.073329029,0.235650599,1.905750882,0.033258147,0.003694428,0.004885488,0.003961725,0.001792572,0.003029521,0.004208612,0.003573464,0.002841905,1.71E+17,107.9636568,13986290.52,5.78E-12,6.37E-06,0.488505395,2.56E-05,0.496273103,0.003720453,0.006329513
0.074311481,0.242820472,1.903270752,0.034510965,0.003532059,0.004819267,0.003812928,0.001828266,0.002929464,0.004069885,0.00359844,0.002876326,1.70E+17,107.1621832,13952064.21,5.62E-12,6.34E-06,0.491114108,2.61E-05,0.493685426,0.003719538,0.006330244
0.075293934,0.25005575,1.90077256,0.035788441,0.003373048,0.004750316,0.003666153,0.00186358,0.002830136,0.00393211,0.003621449,0.002909524,1.69E+17,106.3629021,13917613.49,5.47E-12,6.30E-06,0.493725435,2.67E-05,0.491096596,0.003719488,0.006330884
0.076276386,0.257353208,1.898256575,0.037090527,0.003217653,0.004678844,0.003521659,0.001898488,0.002731732,0.003795561,0.003642488,0.002941475,1.67E+17,105.5659683,13882944.13,5.31E-12,6.27E-06,0.496338475,2.73E-05,0.488507376,0.003719817,0.006331437
0.077258839,0.264709605,1.895723062,0.038417165,0.003066099,0.004605059,0.003379679,0.00193297,0.002634433,0.003660491,0.00366156,0.002972162,1.66E+17,104.7715286,13848061.9,5.16E-12,6.24E-06,0.498952324,2.79E-05,0.485918516,0.003720163,0.006331905
0.078241291,0.272121682,1.893172277,0.039768291,0.002918578,0.004529168,0.003240422,0.001967015,0.002538404,0.003527134,0.003678669,0.003001564,1.65E+17,103.9797224,13812972.55,5.01E-12,6.21E-06,0.501566081,2.86E-05,0.483330752,0.003720334,0.006332291
0.079223744,0.279586164,1.890604469,0.041143837,0.002775254,0.004451371,0.003104074,0.002000614,0.002443796,0.003395702,0.003693822,0.003029666,1.63E+17,103.1906818,13777681.84,4.87E-12,6.17E-06,0.504178844,2.92E-05,0.480744808,0.003720274,0.006332595
0.080206196,0.287099767,1.888019881,0.042543725,0.002636257,0.004371865,0.002970798,0.002033764,0.002350745,0.00326639,0.003707026,0.003056452,1.62E+17,102.4045318,13742195.46,4.72E-12,6.14E-06,0.506789711,2.99E-05,0.478161396,0.003720039,0.006332822
0.081188649,0.294659195,1.885418748,0.043967873,0.002501693,0.004290843,0.002840735,0.00206646,0.002259374,0.003139372,0.003718292,0.003081908,1.61E+17,101.6213905,13706519.13,4.58E-12,6.11E-06,0.509397779,3.06E-05,0.475581213,0.003719762,0.006332974
0.082171101,0.302261143,1.882801299,0.045416191,0.00237164,0.004208491,0.002714004,0.002098696,0.002169792,0.003014805,0.003727633,0.003106022,1.60E+17,100.8413696,13670658.52,4.44E-12,6.07E-06,0.512002146,3.13E-05,0.473004945,0.003719625,0.006333052
0.083153554,0.309902302,1.880167757,0.046888585,0.002246151,0.004124994,0.002590705,0.002130462,0.002082094,0.002892829,0.003735063,0.003128783,1.58E+17,100.064574,13634619.29,4.31E-12,6.04E-06,0.51460191,3.20E-05,0.470433265,0.003719816,0.00633306
0.084136006,0.317579363,1.877518336,0.048384953,0.002125259,0.004040527,0.00247092,0.00216174,0.001996365,0.002773565,0.003740598,0.00315018,1.57E+17,99.29110269,13598407.06,4.17E-12,6.00E-06,0.517196169,3.28E-05,0.467866833,0.003720355,0.006333
0.085118458,0.325289012,1.874853246,0.049905188,0.002008972,0.003955261,0.002354712,0.002192506,0.001912676,0.00265712,0.003744256,0.003170207,1.56E+17,98.52104841,13562027.43,4.04E-12,5.97E-06,0.51978402,3.35E-05,0.465306297,0.003720692,0.006332873
0.086100911,0.333027942,1.872172689,0.051449176,0.001897282,0.003869362,0.002242128,0.002222733,0.001831088,0.002543584,0.003746058,0.003188857,1.54E+17,97.75449822,13525485.97,3.92E-12,5.94E-06,0.522364562,3.43E-05,0.46275229,0.003719266,0.006332684
